rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
783,88489e3b07fffff,0.5799,207.6,34.2,NaN,0,0,30.1886,-97.3987,Tier 2 — Top 25%
784,88489e3897fffff,0.5799,207.6,24.0,vacant,48814,0,30.3089,-97.4980,Tier 2 — Top 25%
785,884898c88dfffff,0.5796,208.2,26.5,residential,48691,9,30.4246,-97.9505,Tier 2 — Top 25%
786,8848985163fffff,0.5795,207.9,30.7,NaN,0,0,30.5379,-97.8041,Tier 2 — Top 25%
787,88489e272bfffff,0.5792,207.8,15.2,residential,361787,9,30.3952,-97.6874,Tier 2 — Top 25%
788,88489e222bfffff,0.5792,207.8,13.1,NaN,0,0,30.2897,-97.6092,Tier 2 — Top 25%
789,88489e3b3dfffff,0.5792,207.6,34.4,NaN,0,0,30.1965,-97.3941,Tier 2 — Top 25%
790,884898c999fffff,0.5791,208.1,25.2,NaN,0,0,30.4415,-97.9106,Tier 2 — Top 25%
791,88489e2e09fffff,0.5790,207.6,23.1,NaN,0,0,30.4366,-97.6031,Tier 2 — Top 25%
792,88489e2c99fffff,0.5789,207.6,34.2,NaN,0,0,30.5592,-97.6313,Tier 2 — Top 25%
793,88489e3039fffff,0.5789,207.9,14.8,vacant,49264,0,30.1890,-97.6182,Tier 2 — Top 25%
794,88489e2b55fffff,0.5788,207.4,34.5,NaN,0,0,30.3355,-97.3924,Tier 2 — Top 25%
795,88489e25adfffff,0.5787,207.7,26.2,NaN,0,0,30.4959,-97.6785,Tier 2 — Top 25%
796,88489eada5fffff,0.5785,208.1,10.1,vacant,143276,0,30.1776,-97.7247,Tier 2 — Top 25%
797,88489e34e9fffff,0.5784,208.1,6.2,residential,378778,9,30.3067,-97.7892,Tier 2 — Top 25%
798,88489e3729fffff,0.5783,208.0,5.9,residential,415815,9,30.2245,-97.7073,Tier 2 — Top 25%
799,88489e2551fffff,0.5783,207.8,19.1,residential,291931,9,30.4335,-97.6950,Tier 2 — Top 25%
800,88489e2233fffff,0.5781,207.8,12.3,unknown,82770,12,30.3123,-97.6259,Tier 2 — Top 25%
801,88489e31adfffff,0.5781,207.8,18.6,vacant,49078,0,30.2298,-97.5544,Tier 2 — Top 25%
802,884898c821fffff,0.5780,208.2,19.6,residential,49029,9,30.3880,-97.8917,Tier 2 — Top 25%
803,88489e2439fffff,0.5779,207.8,20.9,vacant,197747,0,30.4551,-97.7424,Tier 2 — Top 25%
804,88489e3517fffff,0.5778,208.0,4.8,residential,548470,9,30.3016,-97.7122,Tier 2 — Top 25%
805,8848985b09fffff,0.5777,207.7,31.1,NaN,0,0,30.5421,-97.6814,Tier 2 — Top 25%
806,88489e2e0dfffff,0.5777,207.6,23.8,NaN,0,0,30.4370,-97.5929,Tier 2 — Top 25%
807,88489e2e37fffff,0.5776,207.6,27.4,NaN,0,0,30.4757,-97.5902,Tier 2 — Top 25%
808,8848985a51fffff,0.5776,207.8,30.4,NaN,0,0,30.5390,-97.7734,Tier 2 — Top 25%
809,88489e305dfffff,0.5775,208.0,15.9,residential,49209,9,30.1574,-97.6366,Tier 2 — Top 25%
810,884898c897fffff,0.5774,208.2,30.3,NaN,0,0,30.4547,-97.9730,Tier 2 — Top 25%
811,88489e2303fffff,0.5773,207.7,18.0,residential,49109,9,30.2914,-97.5582,Tier 2 — Top 25%
812,8848985241fffff,0.5773,208.1,28.1,NaN,0,0,30.4640,-97.9275,Tier 2 — Top 25%
813,884898db5bfffff,0.5770,208.5,22.5,NaN,0,0,30.1544,-97.9379,Tier 2 — Top 25%
814,88489e2659fffff,0.5770,208.0,12.6,residential,122385,9,30.3680,-97.8034,Tier 2 — Top 25%
815,88489e2c89fffff,0.5770,207.5,33.4,NaN,0,0,30.5445,-97.6099,Tier 2 — Top 25%
816,884898cb47fffff,0.5770,208.2,13.7,residential,58370,9,30.3113,-97.8765,Tier 2 — Top 25%
817,88489e25bdfffff,0.5770,207.7,27.4,NaN,0,0,30.5106,-97.6999,Tier 2 — Top 25%
818,88489e391bfffff,0.5769,207.5,32.8,NaN,0,0,30.2502,-97.4025,Tier 2 — Top 25%
819,88489e359dfffff,0.5769,208.0,8.0,residential,243129,9,30.3389,-97.7504,Tier 2 — Top 25%
